Index,Champion,Other Champions,Synergy,Counter,Synergy Total,Counter Total
381,Aurelion Sol,Malphite,0,0,0,0
382,Aurelion Sol,Malzahar,0,0,0,0
383,Aurelion Sol,Maokai,0,0,0,0
384,Aurelion Sol,Master Yi,0,0,0,0
385,Aurelion Sol,Miss Fortune,0,0,0,0
386,Aurelion Sol,Mordekaiser,0,0,0,0
387,Aurelion Sol,Morgana,0,0,0,0
388,Aurelion Sol,Nami,0,0,0,0
389,Aurelion Sol,Nasus,0,0,0,0
390,Aurelion Sol,Nautilus,0,0,0,0
391,Aurelion Sol,Neeko,0,0,0,0
392,Aurelion Sol,Nidalee,0,0,0,0
393,Aurelion Sol,Nocturne,0,0,0,0
394,Aurelion Sol,Nunu and Willump,0,0,0,0
395,Aurelion Sol,Olaf,0,0,0,0
396,Aurelion Sol,Orrn,0,0,0,0
397,Aurelion Sol,Orianna,0,0,0,0
398,Aurelion Sol,Pantheon,0,0,0,0
399,Aurelion Sol,Poppy,0,0,0,0
400,Aurelion Sol,Pyke,0,0,0,0
401,Aurelion Sol,Quinn,0,0,0,0
402,Aurelion Sol,Rammus,0,0,0,0
403,Aurelion Sol,Rakan,0,0,0,0
404,Aurelion Sol,Rek Sai,0,0,0,0
405,Aurelion Sol,Renekton,0,0,0,0
406,Aurelion Sol,Rengar,0,0,0,0
407,Aurelion Sol,Riven,0,0,0,0
408,Aurelion Sol,Rumble,0,0,0,0
409,Aurelion Sol,Ryze,0,0,0,0
410,Aurelion Sol,Samira,0,0,0,0
411,Aurelion Sol,Sejuani,0,0,0,0
412,Aurelion Sol,Seraphine,0,0,0,0
413,Aurelion Sol,Shaco,0,0,0,0
414,Aurelion Sol,Shen,0,0,0,0
415,Aurelion Sol,Shyvana,0,0,0,0
416,Aurelion Sol,Singed,0,0,0,0
417,Aurelion Sol,Sion,0,0,0,0
418,Aurelion Sol,Sivir,0,0,0,0
419,Aurelion Sol,Skarner,0,0,0,0
420,Aurelion Sol,Sona,0,0,0,0
421,Aurelion Sol,Soraka,0,0,0,0
422,Aurelion Sol,Swain,0,0,0,0
423,Aurelion Sol,Syndra,0,0,0,0
424,Aurelion Sol,Sylas,0,0,0,0
425,Aurelion Sol,Talon,0,0,0,0
426,Aurelion Sol,Taliyah,0,0,0,0
427,Aurelion Sol,Taric,0,0,0,0
428,Aurelion Sol,Tahm Kench,0,0,0,0
429,Aurelion Sol,Thresh,0,0,0,0
430,Aurelion Sol,Teemo,0,0,0,0
431,Aurelion Sol,Tristana,0,0,0,0
432,Aurelion Sol,Trundle,0,0,0,0
433,Aurelion Sol,Tryndamere,0,0,0,0
434,Aurelion Sol,Twisted Fate,0,0,0,0
435,Aurelion Sol,Twitch,0,0,0,0
436,Aurelion Sol,Udyr,0,0,0,0
437,Aurelion Sol,Urgot,0,0,0,0
438,Aurelion Sol,Varus,0,0,0,0
439,Aurelion Sol,Vayne,0,0,0,0
440,Aurelion Sol,Veigar,0,0,0,0
441,Aurelion Sol,Vel Koz,0,0,0,0
442,Aurelion Sol,Vi,0,0,0,0
443,Aurelion Sol,Viktor,0,0,0,0
444,Aurelion Sol,Vladimir,0,0,0,0
445,Aurelion Sol,Volibear,0,0,0,0
446,Aurelion Sol,Warwick,0,0,0,0
447,Aurelion Sol,Wukong,0,0,0,0
448,Aurelion Sol,Xayah,0,0,0,0
449,Aurelion Sol,Xerath,0,0,0,0
450,Aurelion Sol,Xin Zhao,0,0,0,0
451,Aurelion Sol,Yasuo,0,0,0,0
452,Aurelion Sol,Yorick,0,0,0,0
453,Aurelion Sol,Zac,0,0,0,0
454,Aurelion Sol,Zed,0,0,0,0
455,Aurelion Sol,Ziggs,0,0,0,0
456,Aurelion Sol,Zilean,0,0,0,0
457,Aurelion Sol,Zoe,0,0,0,0
458,Aurelion Sol,Zyra,0,0,0,0
459,Aurelion Sol,Yuumi,0,0,0,0
460,Aurelion Sol,Senna,0,0,0,0
461,Aurelion Sol,Qiana,0,0,0,0
462,Aurelion Sol,Sett,0,0,0,0
463,Aurelion Sol,Aphelios,0,0,0,0
464,Aurelion Sol,Viego,0,0,0,0
465,Aurelion Sol,Rell,0,0,0,0
466,Aurelion Sol,Lillia,0,0,0,0
467,Aurelion Sol,Yone,0,0,0,0
468,Ahri,Aatrox,-1,1,1,1
469,Ahri,Akali,0,4,0,4
470,Ahri,Aurelion Sol,0,0,0,0
471,Ahri,Ahri,0,0,0,0
472,Ahri,Akshan,0,1,0,3
473,Ahri,Alistar,-1,0,3,0
474,Ahri,Amumu,1,-1,1,1
475,Ahri,Anivia,1,-1,1,1
476,Ahri,Annie,0,2,0,2
477,Ahri,Ashe,2,-3,12,3
478,Ahri,Azir,0,0,0,0
479,Ahri,Bard,1,0,1,0
480,Ahri,Blitzcrank,-1,0,1,0
481,Ahri,Brand,0,0,0,0
482,Ahri,Braum,2,1,4,7
483,Ahri,Camille,1,6,3,6
484,Ahri,Caitlyn,1,0,3,2
485,Ahri,Cassiopeia,0,1,0,1
486,Ahri,Cho Gath,0,0,0,0
487,Ahri,Corki,0,0,0,0
488,Ahri,Darius,0,0,0,2
489,Ahri,Dr. Mundo,0,0,0,0
490,Ahri,Diana,0,5,0,7
491,Ahri,Draven,-3,1,3,1
492,Ahri,Ekko,0,4,6,6
493,Ahri,Elise,0,0,0,0
494,Ahri,Evelynn,0,-1,2,1
495,Ahri,Ezreal,4,-1,8,17
496,Ahri,Fiddlesticks,2,0,2,2
497,Ahri,Fiora,1,2,5,6
498,Ahri,Fizz,-1,0,1,0
499,Ahri,Galio,1,1,1,1
500,Ahri,Gangplank,1,1,1,1
501,Ahri,Garen,1,0,1,0
502,Ahri,Gnar,0,0,0,0
503,Ahri,Gragas,-2,0,2,0
504,Ahri,Graves,0,3,4,7
505,Ahri,Gwen,-1,-1,3,5
506,Ahri,Hecarim,1,-1,1,1
507,Ahri,Heimerdinger,2,0,4,0
508,Ahri,Irelia,0,-3,2,5
509,Ahri,Ivern,0,0,0,0
510,Ahri,Illaoi,0,0,0,0
511,Ahri,Janna,2,-1,2,3
512,Ahri,Jarvan IV,0,0,0,0
513,Ahri,Jax,0,2,2,6
514,Ahri,Jayce,7,0,7,4
515,Ahri,Jhin,3,1,3,9
516,Ahri,Jinx,1,-2,1,2
517,Ahri,Karma,2,1,6,9
518,Ahri,Kalista,1,2,1,2
519,Ahri,Karthus,3,0,3,4
520,Ahri,Kassadin,-1,0,1,0
521,Ahri,Kai Sa,0,0,0,0
522,Ahri,Katarina,0,0,0,2
523,Ahri,Kayn,-2,-3,4,3
524,Ahri,Kayle,-1,-3,1,3
525,Ahri,Kennen,4,-3,4,3
526,Ahri,Kha Zix,0,0,0,0
527,Ahri,Kog Maw,0,0,0,0
528,Ahri,Kled,-1,0,1,0
529,Ahri,Kindred,-1,0,1,0
530,Ahri,LeBlanc,0,0,0,0
531,Ahri,Lee Sin,0,0,0,0
532,Ahri,Leona,0,2,2,2
533,Ahri,Lucian,-3,1,9,11
534,Ahri,Lissandra,0,0,0,0
535,Ahri,Lulu,-4,-1,4,5
536,Ahri,Lux,-1,2,3,10
537,Ahri,Malphite,-1,0,1,0
538,Ahri,Malzahar,0,0,0,2
539,Ahri,Maokai,1,0,1,0
540,Ahri,Master Yi,0,0,0,0
